bug_id,project_id,revision_id_buggy,revision_id_fixed,report_id,classes_modified,tests_trigger,tests_trigger_cause
22,Lang,7e8d044b7b8c6d2786a88f416d17eed2f472445c,2270d830fda743de1ce8a61e33b9542cb39a0f4b,LANG-662,"org.apache.commons.lang3.math.Fraction","org.apache.commons.lang3.math.FractionTest::testReducedFactory_int_int;org.apache.commons.lang3.math.FractionTest::testReduce","org.apache.commons.lang3.math.FractionTest::testReducedFactory_int_int --> junit.framework.AssertionFailedError: expected:<-1073741824> but was:<-2147483648>;org.apache.commons.lang3.math.FractionTest::testReduce --> junit.framework.AssertionFailedError: expected:<-1073741824> but was:<-2147483648>"
23,Lang,66e42dc8b43d37ff011de69586f8e6764c4b3164,249788d799ca1c3964062bdc5c19a51ecc05c2f7,LANG-636,"org.apache.commons.lang3.text.ExtendedMessageFormat","org.apache.commons.lang3.text.ExtendedMessageFormatTest::testEqualsHashcode","org.apache.commons.lang3.text.ExtendedMessageFormatTest::testEqualsHashcode --> junit.framework.AssertionFailedError: registry, hashcode()"
24,Lang,7df70a8c6b14452767ac932a14640e32a1dc16da,8e2f4ddb9a1ecd7a1bf7d752c2c891d630287036,LANG-664,"org.apache.commons.lang3.math.NumberUtils","org.apache.commons.lang3.math.NumberUtilsTest::testIsNumber","org.apache.commons.lang3.math.NumberUtilsTest::testIsNumber --> junit.framework.AssertionFailedError: isNumber(String) LANG-664 failed"
26,Lang,f7f19a3d2f98f48924d38fec2308dc3db83445d8,14a0cc2a9baf84a97348263975082ef3857daf97,LANG-645,"org.apache.commons.lang3.time.FastDateFormat","org.apache.commons.lang3.time.FastDateFormatTest::testLang645","org.apache.commons.lang3.time.FastDateFormatTest::testLang645 --> junit.framework.ComparisonFailure: expected:<fredag, week [53]> but was:<fredag, week [01]>"
27,Lang,bbcba273ad4322e76a90bcb867cbea108134717c,50c1fdecb4ed33ec1bb0d449f294c299d5369701,LANG-638,"org.apache.commons.lang3.math.NumberUtils","org.apache.commons.lang3.math.NumberUtilsTest::testCreateNumber","org.apache.commons.lang3.math.NumberUtilsTest::testCreateNumber --> java.lang.StringIndexOutOfBoundsException: String index out of range: 4"
28,Lang,c0041cafc2fda3fb437009d5417ba5ebeb32ad35,bef3eb6ed060d5ae14da6ce5a1909675b8cf5650,LANG-617,"org.apache.commons.lang3.text.translate.NumericEntityUnescaper","org.apache.commons.lang3.text.translate.NumericEntityUnescaperTest::testSupplementaryUnescaping","org.apache.commons.lang3.text.translate.NumericEntityUnescaperTest::testSupplementaryUnescaping --> junit.framework.ComparisonFailure: Failed to unescape numeric entities supplementary characters expected:<[𐰢]> but was:<[ఢ]>"
29,Lang,2d9a9ae59fd3b753e05903f63641eff1203f1bd1,eb79f7c6f37d0d9c4d9252b1020bc19a617a4d23,LANG-624,"org.apache.commons.lang3.SystemUtils","org.apache.commons.lang3.SystemUtilsTest::testJavaVersionAsInt","org.apache.commons.lang3.SystemUtilsTest::testJavaVersionAsInt --> junit.framework.AssertionFailedError: expected:<0> but was:<0.0>"
30,Lang,79f7a7ef529ae656a80f7e331f75e79999cef7ea,bc52782cd84f4356d2984e1aa01806f81754eb08,LANG-607,"org.apache.commons.lang3.StringUtils","org.apache.commons.lang3.StringUtilsEqualsIndexOfTest::testContainsNone_CharArrayWithSupplementaryChars;org.apache.commons.lang3.StringUtilsEqualsIndexOfTest::testContainsNone_StringWithSupplementaryChars;org.apache.commons.lang3.StringUtilsEqualsIndexOfTest::testContainsAny_StringCharArrayWithBadSupplementaryChars;org.apache.commons.lang3.StringUtilsEqualsIndexOfTest::testIndexOfAnyBut_StringStringWithSupplementaryChars;org.apache.commons.lang3.StringUtilsEqualsIndexOfTest::testContainsAny_StringWithBadSupplementaryChars;org.apache.commons.lang3.StringUtilsEqualsIndexOfTest::testIndexOfAny_StringCharArrayWithSupplementaryChars;org.apache.commons.lang3.StringUtilsEqualsIndexOfTest::testIndexOfAnyBut_StringCharArrayWithSupplementaryChars;org.apache.commons.lang3.StringUtilsEqualsIndexOfTest::testContainsNone_StringWithBadSupplementaryChars;org.apache.commons.lang3.StringUtilsEqualsIndexOfTest::testIndexOfAny_StringStringWithSupplementaryChars;org.apache.commons.lang3.StringUtilsEqualsIndexOfTest::testContainsNone_CharArrayWithBadSupplementaryChars","org.apache.commons.lang3.StringUtilsEqualsIndexOfTest::testContainsNone_CharArrayWithSupplementaryChars --> junit.framework.AssertionFailedError: expected:<true> but was:<false>;org.apache.commons.lang3.StringUtilsEqualsIndexOfTest::testContainsNone_StringWithSupplementaryChars --> junit.framework.AssertionFailedError: expected:<true> but was:<false>;org.apache.commons.lang3.StringUtilsEqualsIndexOfTest::testContainsAny_StringCharArrayWithBadSupplementaryChars --> junit.framework.AssertionFailedError: expected:<false> but was:<true>;org.apache.commons.lang3.StringUtilsEqualsIndexOfTest::testIndexOfAnyBut_StringStringWithSupplementaryChars --> junit.framework.AssertionFailedError: expected:<2> but was:<3>;org.apache.commons.lang3.StringUtilsEqualsIndexOfTest::testContainsAny_StringWithBadSupplementaryChars --> junit.framework.AssertionFailedError: expected:<false> but was:<true>;org.apache.commons.lang3.StringUtilsEqualsIndexOfTest::testIndexOfAny_StringCharArrayWithSupplementaryChars --> junit.framework.AssertionFailedError: expected:<2> but was:<0>;org.apache.commons.lang3.StringUtilsEqualsIndexOfTest::testIndexOfAnyBut_StringCharArrayWithSupplementaryChars --> junit.framework.AssertionFailedError: expected:<2> but was:<3>;org.apache.commons.lang3.StringUtilsEqualsIndexOfTest::testContainsNone_StringWithBadSupplementaryChars --> junit.framework.AssertionFailedError: expected:<true> but was:<false>;org.apache.commons.lang3.StringUtilsEqualsIndexOfTest::testIndexOfAny_StringStringWithSupplementaryChars --> junit.framework.AssertionFailedError: expected:<2> but was:<0>;org.apache.commons.lang3.StringUtilsEqualsIndexOfTest::testContainsNone_CharArrayWithBadSupplementaryChars --> junit.framework.AssertionFailedError: expected:<true> but was:<false>"
31,Lang,8a8859cb88a49a8b967217bfc1daafe0805e7c86,1ced894df70d66f3a786c2c8cd6e23e0d4263d91,LANG-607,"org.apache.commons.lang3.StringUtils","org.apache.commons.lang3.StringUtilsEqualsIndexOfTest::testContainsAnyCharArrayWithSupplementaryChars;org.apache.commons.lang3.StringUtilsEqualsIndexOfTest::testContainsAnyStringWithSupplementaryChars","org.apache.commons.lang3.StringUtilsEqualsIndexOfTest::testContainsAnyCharArrayWithSupplementaryChars --> junit.framework.AssertionFailedError: expected:<false> but was:<true>;org.apache.commons.lang3.StringUtilsEqualsIndexOfTest::testContainsAnyStringWithSupplementaryChars --> junit.framework.AssertionFailedError: expected:<false> but was:<true>"
32,Lang,2fb9e71da695f4ffc1d390209944399b12c53a5d,1f35e7c99b66b8d46c4ad96558e694a10aa38062,LANG-586,"org.apache.commons.lang3.builder.HashCodeBuilder","org.apache.commons.lang3.builder.HashCodeBuilderTest::testReflectionObjectCycle","org.apache.commons.lang3.builder.HashCodeBuilderTest::testReflectionObjectCycle --> junit.framework.AssertionFailedError: Expected: <null> but was: []"
33,Lang,5d5a31a8274ff7e8219ee87fdd15b48c2184ccc0,8f675dd3cbfb8f552bdbbe1cfc646ba5b367983b,LANG-587,"org.apache.commons.lang3.ClassUtils","org.apache.commons.lang3.ClassUtilsTest::testToClass_object","org.apache.commons.lang3.ClassUtilsTest::testToClass_object --> java.lang.NullPointerException"
34,Lang,5c3ec55e15922c58bb2f39145de9fe641840bb50,a2bb711aee6621b21cdd22e6d7e4bff2f7236235,LANG-586,"org.apache.commons.lang3.builder.ToStringStyle","org.apache.commons.lang3.builder.ToStringBuilderTest::testObjectCycle;org.apache.commons.lang3.builder.ToStringBuilderTest::testReflectionHierarchy;org.apache.commons.lang3.builder.ToStringBuilderTest::testSelfInstanceTwoVarsReflectionObjectCycle;org.apache.commons.lang3.builder.ToStringBuilderTest::testReflectionArrayCycle;org.apache.commons.lang3.builder.ToStringBuilderTest::testReflectionLongArrayArray;org.apache.commons.lang3.builder.ToStringBuilderTest::testReflectionArrayArrayCycle;org.apache.commons.lang3.builder.ToStringBuilderTest::testReflectionFloatArray;org.apache.commons.lang3.builder.ToStringBuilderTest::testReflectionDoubleArrayArray;org.apache.commons.lang3.builder.ToStringBuilderTest::testReflectionBooleanArray;org.apache.commons.lang3.builder.ToStringBuilderTest::testReflectionyteArray;org.apache.commons.lang3.builder.ToStringBuilderTest::testReflectionDoubleArray;org.apache.commons.lang3.builder.ToStringBuilderTest::testReflectionIntArrayArray;org.apache.commons.lang3.builder.ToStringBuilderTest::testReflectionLongArray;org.apache.commons.lang3.builder.ToStringBuilderTest::testReflectionhortArrayArray;org.apache.commons.lang3.builder.ToStringBuilderTest::testReflectionObjectArray;org.apache.commons.lang3.builder.ToStringBuilderTest::testReflectionObjectCycle;org.apache.commons.lang3.builder.ToStringBuilderTest::testReflectionBooleanArrayArray;org.apache.commons.lang3.builder.ToStringBuilderTest::testSimpleReflectionObjectCycle;org.apache.commons.lang3.builder.ToStringBuilderTest::testReflectionByteArrayArray;org.apache.commons.lang3.builder.ToStringBuilderTest::testReflectionArrayCycleLevel2;org.apache.commons.lang3.builder.ToStringBuilderTest::testReflectionArrayAndObjectCycle;org.apache.commons.lang3.builder.ToStringBuilderTest::testReflectionCharArrayArray;org.apache.commons.lang3.builder.ToStringBuilderTest::testReflectionShortArray;org.apache.commons.lang3.builder.ToStringBuilderTest::testSelfInstanceVarReflectionObjectCycle;org.apache.commons.lang3.builder.ToStringBuilderTest::testReflectionIntArray;org.apache.commons.lang3.builder.ToStringBuilderTest::testReflectionCharArray;org.apache.commons.lang3.builder.ToStringBuilderTest::testReflectionFloatArrayArray","org.apache.commons.lang3.builder.ToStringBuilderTest::testObjectCycle --> junit.framework.AssertionFailedError: Expected: <null> but was: {};org.apache.commons.lang3.builder.ToStringBuilderTest::testReflectionHierarchy --> junit.framework.AssertionFailedError: Expected: <null> but was: {};org.apache.commons.lang3.builder.ToStringBuilderTest::testSelfInstanceTwoVarsReflectionObjectCycle --> junit.framework.AssertionFailedError: Expected: <null> but was: {};org.apache.commons.lang3.builder.ToStringBuilderTest::testReflectionArrayCycle --> junit.framework.AssertionFailedError: Expected: <null> but was: {};org.apache.commons.lang3.builder.ToStringBuilderTest::testReflectionLongArrayArray --> junit.framework.AssertionFailedError: Expected: <null> but was: {};org.apache.commons.lang3.builder.ToStringBuilderTest::testReflectionArrayArrayCycle --> junit.framework.AssertionFailedError: Expected: <null> but was: {};org.apache.commons.lang3.builder.ToStringBuilderTest::testReflectionFloatArray --> junit.framework.AssertionFailedError: Expected: <null> but was: {};org.apache.commons.lang3.builder.ToStringBuilderTest::testReflectionDoubleArrayArray --> junit.framework.AssertionFailedError: Expected: <null> but was: {};org.apache.commons.lang3.builder.ToStringBuilderTest::testReflectionBooleanArray --> junit.framework.AssertionFailedError: Expected: <null> but was: {};org.apache.commons.lang3.builder.ToStringBuilderTest::testReflectionyteArray --> junit.framework.AssertionFailedError: Expected: <null> but was: {};org.apache.commons.lang3.builder.ToStringBuilderTest::testReflectionDoubleArray --> junit.framework.AssertionFailedError: Expected: <null> but was: {};org.apache.commons.lang3.builder.ToStringBuilderTest::testReflectionIntArrayArray --> junit.framework.AssertionFailedError: Expected: <null> but was: {};org.apache.commons.lang3.builder.ToStringBuilderTest::testReflectionLongArray --> junit.framework.AssertionFailedError: Expected: <null> but was: {};org.apache.commons.lang3.builder.ToStringBuilderTest::testReflectionhortArrayArray --> junit.framework.AssertionFailedError: Expected: <null> but was: {};org.apache.commons.lang3.builder.ToStringBuilderTest::testReflectionObjectArray --> junit.framework.AssertionFailedError: Expected: <null> but was: {};org.apache.commons.lang3.builder.ToStringBuilderTest::testReflectionObjectCycle --> junit.framework.AssertionFailedError: Expected: <null> but was: {};org.apache.commons.lang3.builder.ToStringBuilderTest::testReflectionBooleanArrayArray --> junit.framework.AssertionFailedError: Expected: <null> but was: {};org.apache.commons.lang3.builder.ToStringBuilderTest::testSimpleReflectionObjectCycle --> junit.framework.AssertionFailedError: Expected: <null> but was: {};org.apache.commons.lang3.builder.ToStringBuilderTest::testReflectionByteArrayArray --> junit.framework.AssertionFailedError: Expected: <null> but was: {};org.apache.commons.lang3.builder.ToStringBuilderTest::testReflectionArrayCycleLevel2 --> junit.framework.AssertionFailedError: Expected: <null> but was: {};org.apache.commons.lang3.builder.ToStringBuilderTest::testReflectionArrayAndObjectCycle --> junit.framework.AssertionFailedError: Expected: <null> but was: {};org.apache.commons.lang3.builder.ToStringBuilderTest::testReflectionCharArrayArray --> junit.framework.AssertionFailedError: Expected: <null> but was: {};org.apache.commons.lang3.builder.ToStringBuilderTest::testReflectionShortArray --> junit.framework.AssertionFailedError: Expected: <null> but was: {};org.apache.commons.lang3.builder.ToStringBuilderTest::testSelfInstanceVarReflectionObjectCycle --> junit.framework.AssertionFailedError: Expected: <null> but was: {};org.apache.commons.lang3.builder.ToStringBuilderTest::testReflectionIntArray --> junit.framework.AssertionFailedError: Expected: <null> but was: {};org.apache.commons.lang3.builder.ToStringBuilderTest::testReflectionCharArray --> junit.framework.AssertionFailedError: Expected: <null> but was: {};org.apache.commons.lang3.builder.ToStringBuilderTest::testReflectionFloatArrayArray --> junit.framework.AssertionFailedError: Expected: <null> but was: {}"
35,Lang,a5dc7f1e68f735d0f989a10c521bbc0f6c1ef3ae,54c0f6ba9e6555146d0dad51bcb5c4ec581e21da,LANG-571,"org.apache.commons.lang3.ArrayUtils","org.apache.commons.lang3.ArrayUtilsAddTest::testLANG571","org.apache.commons.lang3.ArrayUtilsAddTest::testLANG571 --> java.lang.ClassCastException: [Ljava.lang.Object; cannot be cast to [Ljava.lang.String;"
36,Lang,506bd018b3ca638cd0c9d1bdad627f6468a05bee,26bc3fe010d5154d3ccac526ec22c429fc3af499,LANG-521,"org.apache.commons.lang3.math.NumberUtils","org.apache.commons.lang3.math.NumberUtilsTest::testCreateNumber;org.apache.commons.lang3.math.NumberUtilsTest::testIsNumber","org.apache.commons.lang3.math.NumberUtilsTest::testCreateNumber --> java.lang.NumberFormatException: 2. is not a valid number.;org.apache.commons.lang3.math.NumberUtilsTest::testIsNumber --> junit.framework.AssertionFailedError: isNumber(String) LANG-521 failed"
37,Lang,eb2b517b466efb38d591be80728924fb22745333,2f8f67ab2939f1c23f09c8764e04ea2da0479332,LANG-567,"org.apache.commons.lang3.ArrayUtils","org.apache.commons.lang3.ArrayUtilsAddTest::testJira567","org.apache.commons.lang3.ArrayUtilsAddTest::testJira567 --> java.lang.ArrayStoreException"
38,Lang,91ac16e0b4a74b437d86c2dd7a47272105b4317c,825481f019e4482e5ea74d5b0b5e5c438535cb68,LANG-538,"org.apache.commons.lang3.time.FastDateFormat","org.apache.commons.lang3.time.FastDateFormatTest::testLang538","org.apache.commons.lang3.time.FastDateFormatTest::testLang538 --> junit.framework.ComparisonFailure: dateTime expected:<2009-10-16T[16]:42:16.000Z> but was:<2009-10-16T[08]:42:16.000Z>"
39,Lang,dafb8e85dcb76a299c6add11ecb62acf702d6c2a,56550bf2779990da78d2bac1d8287c8a693c6e4b,LANG-552,"org.apache.commons.lang3.StringUtils","org.apache.commons.lang3.StringUtilsTest::testReplace_StringStringArrayStringArray","org.apache.commons.lang3.StringUtilsTest::testReplace_StringStringArrayStringArray --> java.lang.NullPointerException"
40,Lang,7d3fbbfd43ec66fab190b29db9f7e157791de37f,711e204e73f24e32acb3727a5d9d3b351b6639d1,LANG-432,"org.apache.commons.lang.StringUtils","org.apache.commons.lang.StringUtilsEqualsIndexOfTest::testContainsIgnoreCase_LocaleIndependence","org.apache.commons.lang.StringUtilsEqualsIndexOfTest::testContainsIgnoreCase_LocaleIndependence --> junit.framework.AssertionFailedError: en: 0 ß SS"
41,Lang,bb8709f3e30e7c13530dfef458a4c370783de2be,2dc56182579703153e5c9886b3ecd22bbc348b49,LANG-535,"org.apache.commons.lang.ClassUtils","org.apache.commons.lang.ClassUtilsTest::test_getShortClassName_Class;org.apache.commons.lang.ClassUtilsTest::test_getPackageName_Class","org.apache.commons.lang.ClassUtilsTest::test_getShortClassName_Class --> junit.framework.ComparisonFailure: expected:<String[[]]> but was:<String[;]>;org.apache.commons.lang.ClassUtilsTest::test_getPackageName_Class --> junit.framework.ComparisonFailure: expected:<[]java.lang> but was:<[[L]java.lang>"
42,Lang,00fee20efcd5d1e79cfcac501f19f2163a34fd09,c0683957931ffa3df218ff68ca31e257174a6466,LANG-480,"org.apache.commons.lang.Entities","org.apache.commons.lang.StringEscapeUtilsTest::testEscapeHtmlHighUnicode","org.apache.commons.lang.StringEscapeUtilsTest::testEscapeHtmlHighUnicode --> junit.framework.ComparisonFailure: High unicode was not escaped correctly expected:<&#[119650];> but was:<&#[55348;&#57186];>"
43,Lang,eb8b39b145d863e8fca833c13479e466ad405c61,a38e2e942d622c1a84ed35bedb9aba045db7ab79,LANG-477,"org.apache.commons.lang.text.ExtendedMessageFormat","org.apache.commons.lang.text.ExtendedMessageFormatTest::testEscapedQuote_LANG_477","org.apache.commons.lang.text.ExtendedMessageFormatTest::testEscapedQuote_LANG_477 --> java.lang.OutOfMemoryError: Java heap space"
44,Lang,9d8846081ae80d36ca8da223dac2d1e116b0af33,0d0061f247b9c28b59b1af7e7a10def74718ac94,LANG-457,"org.apache.commons.lang.NumberUtils","org.apache.commons.lang.NumberUtilsTest::testLang457","org.apache.commons.lang.NumberUtilsTest::testLang457 --> java.lang.StringIndexOutOfBoundsException: String index out of range: 0"
45,Lang,04f767b393b5849185f4ddf8f7ae8fc0b255e9bf,4342bd5d69d122a16c735416039b4b2ca27897ad,LANG-419,"org.apache.commons.lang.WordUtils","org.apache.commons.lang.WordUtilsTest::testAbbreviate","org.apache.commons.lang.WordUtilsTest::testAbbreviate --> java.lang.StringIndexOutOfBoundsException: String index out of range: 15"
46,Lang,65b5dc69db3bfd08b4392dcee16fa0542b097812,dd0deed066e728d7b09e5fd69855c5ad7bf6bdb4,LANG-421,"org.apache.commons.lang.StringEscapeUtils","org.apache.commons.lang.StringEscapeUtilsTest::testEscapeJavaWithSlash","org.apache.commons.lang.StringEscapeUtilsTest::testEscapeJavaWithSlash --> junit.framework.ComparisonFailure: expected:<...tring with a slash ([]/) in it> but was:<...tring with a slash ([\]/) in it>"
